DATA;RowHeading2;ColumnHeading
93,5;administrative and support service activities;whole year 2009
89;administrative and support service activities;2009/4
91,1;administrative and support service activities;2009/3
103,7;administrative and support service activities;2009/2
90,2;administrative and support service activities;2009/1
100;administrative and support service activities;whole year 2008
96,4;administrative and support service activities;2008/4
100,4;administrative and support service activities;2008/3
104,7;administrative and support service activities;2008/2
98,5;administrative and support service activities;2008/1
95,6;administrative and support service activities;whole year 2007
106,4;financial and incurance activities;whole year 2009
100,2;financial and incurance activities;2009/4
97,4;financial and incurance activities;2009/3
122,6;financial and incurance activities;2009/2
105,3;financial and incurance activities;2009/1
100;financial and incurance activities;whole year 2008
93,7;financial and incurance activities;2008/4
89,8;financial and incurance activities;2008/3
112,3;financial and incurance activities;2008/2
104,2;financial and incurance activities;2008/1
102,7;financial and incurance activities;whole year 2007
109,4;information and communication;whole year 2009
95,5;information and communication;2009/4
118,5;information and communication;2009/3
119,6;information and communication;2009/2
103,8;information and communication;2009/1
100;information and communication;whole year 2008
94;information and communication;2008/4
101,4;information and communication;2008/3
105,4;information and communication;2008/2
99,1;information and communication;2008/1
91,2;information and communication;whole year 2007
95,5;transportation and storage;whole year 2009
87,1;transportation and storage;2009/4
104,9;transportation and storage;2009/3
98,5;transportation and storage;2009/2
91,7;transportation and storage;2009/1
100;transportation and storage;whole year 2008
94;transportation and storage;2008/4
107,8;transportation and storage;2008/3
103,7;transportation and storage;2008/2
94,5;transportation and storage;2008/1
90,5;transportation and storage;whole year 2007
97,4;wholesale and retail trade;whole year 2009
90,6;wholesale and retail trade;2009/4
100,7;wholesale and retail trade;2009/3
104,8;wholesale and retail trade;2009/2
93,7;wholesale and retail trade;2009/1
100;wholesale and retail trade;whole year 2008
91,7;wholesale and retail trade;2008/4
103,3;wholesale and retail trade;2008/3
106,3;wholesale and retail trade;2008/2
98,7;wholesale and retail trade;2008/1
94,1;wholesale and retail trade;whole year 2007
103,5;services;whole year 2009
95,4;services;2009/4
107,5;services;2009/3
111,7;services;2009/2
99,5;services;2009/1
100;services;whole year 2008
94,1;services;2008/4
101,9;services;2008/3
105,7;services;2008/2
98,2;services;2008/1
95,5;services;whole year 2007
106,8;construction;whole year 2009
98,3;construction;2009/4
110,2;construction;2009/3
112,2;construction;2009/2
106,8;construction;2009/1
100;construction;whole year 2008
96,1;construction;2008/4
103,3;construction;2008/3
102,9;construction;2008/2
97,7;construction;2008/1
93,6;construction;whole year 2007
107,2;metal industry;whole year 2009
94,3;metal industry;2009/4
117,6;metal industry;2009/3
115,5;metal industry;2009/2
101,4;metal industry;2009/1
100;metal industry;whole year 2008
92,4;metal industry;2008/4
107;metal industry;2008/3
99,7;metal industry;2008/2
101;metal industry;2008/1
98,6;metal industry;whole year 2007
102,6;chemical industry;whole year 2009
91,1;chemical industry;2009/4
104,6;chemical industry;2009/3
111,1;chemical industry;2009/2
103,6;chemical industry;2009/1
100;chemical industry;whole year 2008
90,2;chemical industry;2008/4
105,4;chemical industry;2008/3
102,4;chemical industry;2008/2
102;chemical industry;2008/1
99,6;chemical industry;whole year 2007
106,3;forest industry;whole year 2009
91,5;forest industry;2009/4
111,8;forest industry;2009/3
119,3;forest industry;2009/2
102,4;forest industry;2009/1
100;forest industry;whole year 2008
91,1;forest industry;2008/4
106,2;forest industry;2008/3
105,7;forest industry;2008/2
97;forest industry;2008/1
97,4;forest industry;whole year 2007
103,5;food industry;whole year 2009
92,2;food industry;2009/4
107;food industry;2009/3
111,6;food industry;2009/2
103,2;food industry;2009/1
100;food industry;whole year 2008
90,1;food industry;2008/4
104,7;food industry;2008/3
104,9;food industry;2008/2
100,4;food industry;2008/1
98,3;food industry;whole year 2007
105,9;manufacturing;whole year 2009
93,5;manufacturing;2009/4
112,9;manufacturing;2009/3
114,6;manufacturing;2009/2
102,3;manufacturing;2009/1
100;manufacturing;whole year 2008
91,9;manufacturing;2008/4
106,1;manufacturing;2008/3
102;manufacturing;2008/2
100,1;manufacturing;2008/1
97,5;manufacturing;whole year 2007
105,6;industry;whole year 2009
93,4;industry;2009/4
112,6;industry;2009/3
114,3;industry;2009/2
102,3;industry;2009/1
100;industry;whole year 2008
91,9;industry;2008/4
105,9;industry;2008/3
101,9;industry;2008/2
100,3;industry;2008/1
97,8;industry;whole year 2007
104,9;total;whole year 2009
95,3;total;2009/4
110;total;2009/3
112,9;total;2009/2
101,5;total;2009/1
100;total;whole year 2008
93,4;total;2008/4
104,2;total;2008/3
103,7;total;2008/2
98,7;total;2008/1
96,7;total;whole year 2007
